entidad,formatos,municipio,region
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297190_s.zip,Múzquiz,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297206_s.zip,Nadadores,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297213_s.zip,Nava,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297220_s.zip,Ocampo,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297237_s.zip,Parras,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297244_s.zip,Piedras Negras,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297251_s.zip,Progreso,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297268_s.zip,Ramos Arizpe,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297275_s.zip,Sabinas,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825313449_s.zip,Sacramento,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297282_s.zip,Saltillo,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297299_s.zip,San Buenaventura,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297305_s.zip,San Juan de Sabinas,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297312_s.zip,San Pedro,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297329_s.zip,Sierra Mojada,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297336_s.zip,Torreón,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297343_s.zip,Viesca,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297350_s.zip,Villa Unión,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297367_s.zip,Zaragoza,Urbanas
 Colima,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Colima/702825272845_s.zip,Armería,Rurales
